doc_id,arquivo,linha,turno,falante,rotulo_original,fornecedor,modelo,papel,palavras
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2043,17,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,307
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2077,18,humano,Eu,,,,13
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2081,19,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,619
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2250,20,ia,ChatGPT o3 diz,openai,ChatGPT o3,,520
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2361,21,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,715
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2478,22,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,418
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2599,23,ia,ChatGPT o3 diz,openai,ChatGPT o3,,273
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2637,24,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,617
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2735,25,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,408
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2862,26,ia,ChatGPT o3 diz,openai,ChatGPT o3,,138
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2886,27,humano,Eu,,,,712
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2925,28,ia,ChatGPT o3 diz,openai,ChatGPT o3,,621
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2952,29,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,804
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2996,30,ia,ChatGPT o3 diz,openai,ChatGPT o3,,554
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3019,31,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,925
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3074,32,ia,ChatGPT o3 diz,openai,ChatGPT o3,,538
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3097,33,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,664
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3124,34,ia,ChatGPT o3 diz,openai,ChatGPT o3,,521
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3147,35,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,775
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3183,36,ia,ChatGPT o3 diz,openai,ChatGPT o3,,531
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3206,37,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,776
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3243,38,humano,Eu,,,,23
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3247,39,ia,ChatGPT o3 diz,openai,ChatGPT o3,,694
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3386,40,ia,Gemini 2.5 diz,google,Gemini 2.5,,1262
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3504,41,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,908
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3737,42,ia,ChatGPT o3 diz,openai,ChatGPT o3,,633
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,3941,43,ia,Gemini 2.5 diz,google,Gemini 2.5,,1209
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,4067,44,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,958
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,4506,45,ia,ChatGPT o3 diz,openai,ChatGPT o3,,571
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,4644,46,ia,Gemini 2.5 diz,google,Gemini 2.5,,1334
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,4800,47,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,795
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5012,48,ia,ChatGPT o3 diz,openai,ChatGPT o3,,604
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5191,49,ia,Gemini 2.5 diz,google,Gemini 2.5,,757
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5245,50,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,420
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5329,51,humano,Eu,,,,19
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5339,52,ia,ChatGPT o3 diz,openai,ChatGPT o3,,247
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5368,53,ia,Gemini 2.5 diz,google,Gemini 2.5,,779
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5439,54,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,538
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5540,55,ia,ChatGPT o3 diz,openai,ChatGPT o3,,241
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5579,56,ia,Gemini 2.5 diz,google,Gemini 2.5,,568
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5637,57,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,397
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5739,58,ia,ChatGPT o3 diz,openai,ChatGPT o3,,291
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5795,59,ia,Gemini 2.5 diz,google,Gemini 2.5,,384
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,5837,60,ia,Claude Opus 4 diz,anthropic,Claude Opus 4,,8969
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7067,61,humano,Eu,,,,4
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7071,62,ia,Gemini,google,Gemini,,165
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7077,63,ia,ChatGPT,openai,ChatGPT,,96
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7094,64,ia,Claude,anthropic,Claude,,624
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7233,65,ia,Gemini diz,google,Gemini,,907
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7283,66,ia,ChatGPT diz,openai,ChatGPT,,428
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7343,67,ia,Claude diz,anthropic,Claude,,926
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7508,68,ia,Gemini diz,google,Gemini,,799
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7552,69,ia,ChatGPT diz,openai,ChatGPT,,413
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7635,70,ia,Claude diz,anthropic,Claude,,974
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7807,71,ia,Gemini diz,google,Gemini,,1003
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7876,72,ia,ChatGPT diz,openai,ChatGPT,,442
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,7940,73,ia,Claude diz,anthropic,Claude,,1107
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8161,74,humano,Eu,,,,110
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8177,75,ia,Gemini diz,google,Gemini,,1383
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8263,76,ia,ChatGPT diz,openai,ChatGPT,,246
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8290,77,ia,Claude diz,anthropic,Claude,,1493
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8596,78,humano,Eu,,,,501
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8645,79,ia,ChatGPT 5 diz,openai,ChatGPT 5,,684
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8736,80,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,1354
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8830,81,ia,ChatGPT 5 diz,openai,ChatGPT 5,,221
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,8851,82,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,10557
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,9678,83,ia,ChatGPT diz,openai,ChatGPT,,603
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,9768,84,ia,Gemini diz,google,Gemini,,214
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,9791,85,ia,ChatGPT diz,openai,ChatGPT,,682
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,9849,86,ia,Gemini diz,google,Gemini,,336
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,19,87,humano,Eu,,,,10584
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,258,88,ia,ChatGPT diz,openai,ChatGPT,,705
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,328,89,humano,Eu,,,,20
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,332,90,ia,ChatGPT 5.2 diz,openai,ChatGPT 5.2,,673
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,416,91,ia,Gemini 3 Pro diz,google,Gemini 3 Pro,,642
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,480,92,ia,Claude Opus 4.7 diz,anthropic,Claude Opus 4.7,,678
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,511,93,ia,Perplexity diz,perplexity,Perplexity,,589
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,551,94,humano,Eu,,,,124
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,565,95,ia,ChatGPT 5.2 diz,openai,ChatGPT 5.2,,623
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,592,96,ia,Gemini 3 Pro diz,google,Gemini 3 Pro,,594
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,623,97,ia,Claude Opu 4.7 diz,anthropic,Claude Opu 4.7,,814
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,667,98,ia,ChatGPT 5.2 diz,openai,ChatGPT 5.2,,690
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,698,99,ia,Gemini 3 Pro diz,google,Gemini 3 Pro,,696
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,763,100,ia,Claude Opus 4.7 diz,anthropic,Claude Opus 4.7,,409
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,800,101,ia,ChatGPT 5.2 diz,openai,ChatGPT 5.2,,844
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,846,102,ia,Gemini 3 Pro diz,google,Gemini 3 Pro,,2491
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1167,103,ia,Claude Opus 4.7 diz,anthropic,Claude Opus 4.7,,331
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1195,104,humano,Eu,,,,50
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1203,105,humano,Eu,,,,7
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1207,106,ia,ChatGPT 5 diz,openai,ChatGPT 5,,371
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1237,107,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,1006
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1277,108,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,545
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1323,109,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,844
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1360,110,humano,Eu,,,,23
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1364,111,ia,ChatGPT 5 diz,openai,ChatGPT 5,,786
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1464,112,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,1565
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1548,113,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,692
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1686,114,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,952
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1721,115,ia,ChatGPT 5 diz,openai,ChatGPT 5,,1039
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1834,116,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,1855
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1923,117,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,353
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,1987,118,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,291
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2009,119,ia,ChatGPT 5 diz,openai,ChatGPT 5,,104
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2028,120,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,610
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2052,121,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,514
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2120,122,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,176
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2136,123,ia,ChatGPT 5 diz,openai,ChatGPT 5,,333
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2175,124,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,561
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2204,125,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,509
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2306,126,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,151
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2321,127,ia,ChatGPT 5 diz,openai,ChatGPT 5,,363
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2365,128,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,418
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2392,129,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,487
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2474,130,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,206
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2500,131,ia,ChatGPT 5 diz,openai,ChatGPT 5,,394
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2554,132,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,498
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2586,133,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,453
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2672,134,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,262
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2703,135,ia,ChatGPT 5 diz,openai,ChatGPT 5,,327
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2757,136,humano,Eu,,,,5
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2761,137,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,521
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2827,138,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,816
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,2960,139,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,480
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3025,140,ia,ChatGPT 5 diz,openai,ChatGPT 5,,2258
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3406,141,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,63
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3416,142,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,192
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3453,143,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,264
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3503,144,ia,ChatGPT 5 diz,openai,ChatGPT 5,,287
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3540,145,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,23
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3548,146,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,169
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3589,147,ia,Perplexity Pro diz,perplexity,Perplexity Pro,,312
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3643,148,humano,Eu,,,,33
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3647,149,ia,ChatGPT 5 diz,openai,ChatGPT 5,,584
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3753,150,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,1172
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3795,151,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,598
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3827,152,ia,ChatGPT 5 diz,openai,ChatGPT 5,,897
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3935,153,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,915
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,3982,154,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,439
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4026,155,humano,Eu,,,,19
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4030,156,ia,ChatGPT 5 diz,openai,ChatGPT 5,,731
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4140,157,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,805
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4182,158,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,659
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4274,159,ia,ChatGPT 5 diz,openai,ChatGPT 5,,1014
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4473,160,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,981
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4519,161,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,720
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4642,162,ia,ChatGPT 5 diz,openai,ChatGPT 5,,1012
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4819,163,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,745
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4865,164,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,637
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4962,165,ia,ChatGPT 5 diz,openai,ChatGPT 5,,288
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,4995,166,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,418
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5014,167,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,303
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5065,168,ia,ChatGPT 5 diz,openai,ChatGPT 5,,120
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5084,169,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,368
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5107,170,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,285
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5149,171,ia,ChatGPT 5 diz,openai,ChatGPT 5,,6
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5154,172,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,175
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5165,173,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,218
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5217,174,ia,ChatGPT 5 diz,openai,ChatGPT 5,,0
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5221,175,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,0
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5225,176,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,20
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5232,177,ia,ChatGPT 5 diz,openai,ChatGPT 5,,0
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5236,178,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,0
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5240,179,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,9
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5246,180,humano,Eu,,,,3
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5250,181,ia,ChatGPT 5 diz,openai,ChatGPT 5,,174
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5282,182,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,467
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5325,183,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,263
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5372,184,ia,ChatGPT 5 diz,openai,ChatGPT 5,,146
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5397,185,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,111
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5413,186,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,95
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5443,187,ia,ChatGPT 5 diz,openai,ChatGPT 5,,47
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5459,188,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,30
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5469,189,ia,Claude Opus 4.1 diz,anthropic,Claude Opus 4.1,,125
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5510,190,humano,I,,,,12
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5513,191,ia,ChatGPT 5 says,openai,ChatGPT 5,,889
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5583,192,ia,Gemini 2.5 Pro says,google,Gemini 2.5 Pro,,739
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5621,193,ia,Claude Sonnet 4.5 says,anthropic,Claude Sonnet 4.5,,206
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5636,194,ia,Perplexity says,perplexity,Perplexity,,773
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5719,195,ia,ChatGPT 5 says,openai,ChatGPT 5,,1136
M01,corpus/metodologia-multi-ia/M01-conversas_parte-2-de-4.md,5840,196,ia,Gemini 2.5 Pro says,google,Gemini 2.5 Pro,,806
